cifname,Fraction,Surface,Volume,Diameter,N2absolute
S4_401_NH2_H_H-L2_205_CHO_H_H-SQL_A-AA,0.47912,2267.66,0.827976,18.91642,4.617
S4_PTCA_NH2_H_H_H_H-L2_213_CHO_H_H-SQL_A-AA,0.46048,2143.81,0.741756,18.28979,2.66
S4_401_NH2_H_H-L2_207_CHO_H_H-SQL_A-AA,0.52226,2372.57,0.988667,21.41054,4.538
S4_TBPR_NH2_H-L2_207_CHO_H_H-SQL_A-AA,0.50216,2208.7,0.833936,20.09078,2.846
S4_TBPR_NH2_H-L2_213_CHO_H_H-SQL_A-AA,0.47158,2075.49,0.731566,18.16014,3.052
S4_PORP_NH2_H_H_H_H-L2_213_CHO_H_H-SQL_A-AA,0.31752,1642.61,0.383986,12.30171,2.324
S4_TBPR_NH2_H-L2_204_CHO-SQL_A-AA,0.38388,1979.99,0.494701,14.66737,1.632
S4_PTCA_NH2_H_H_H_H-L2_201_CHO_H_H-SQL_A-AA,0.4921,2073.01,0.789512,20.20208,2.918
S4_PTCA_NH2_H_H_H_H-L2_208_CHO_H_H-SQL_A-AA,0.48802,2296.59,0.846991,20.22105,2.674
S4_401_NH2_H_H-L2_213_CHO_H_H-SQL_A-AA,0.49632,2271.87,0.884956,19.47336,4.389
S4_PORP_NH2_H_H_H_H-L2_202_CHO_H_H-SQL_A-AA,0.25562,1484.77,0.281624,10.71106,2.112
S4_PORP_NH2_H_H_H_H-L2_214_CHO_H_H-SQL_A-AA,0.25436,1446.81,0.271914,11.25259,1.842
S4_TBPR_NH2_H-L2_217_CHO_H_H-SQL_A-AA,0.4804,2112.76,0.764904,18.68359,3.709
S4_PORP_NH2_H_H_H_H-L2_205_CHO_H_H-SQL_A-AA,0.28,1618.82,0.324182,11.82028,2.154
S4_TBPR_NH2_H-L2_216_CHO_H_H-SQL_A-AA,0.43528,1992.88,0.613781,16.1649,2.374
S4_PORP_NH2_H_H_H_H-L2_204_CHO-SQL_A-AA,0.13818,1259.97,0.132224,7.70709,1.483
S4_PTCA_NH2_H_H_H_H-L2_203_CHO_H_H-SQL_A-AA,0.49364,2347.2,0.845775,20.22105,2.874
S4_PTCA_NH2_H_H_H_H-L2_217_CHO_H_H-SQL_A-AA,0.46442,2246.1,0.765248,18.81279,3.402
S4_PORP_NH2_H_H_H_H-L2_201_CHO_H_H-SQL_A-AA,0.36936,1589.03,0.445848,14.15884,2.455
S4_TBPR_NH2_H-L2_214_CHO_H_H-SQL_A-AA,0.4368,1964.26,0.615925,17.1407,2.307
S4_PTCA_NH2_H_H_H_H-L2_202_CHO_H_H-SQL_A-AA,0.42076,2104.27,0.63272,16.67897,2.285
S4_PTCA_NH2_H_H_H_H-L2_216_CHO_H_H-SQL_A-AA,0.4184,2119.11,0.615413,16.29419,2.053
S4_401_NH2_H_H-L2_215_CHO_H_H-SQL_A-AA,0.46216,2196.72,0.760882,18.45651,3.717
S4_TBPR_NH2_H-L2_206_CHO_H_H-SQL_A-AA,0.4665,2004.08,0.677275,17.93415,2.746
S4_PTCA_NH2_H_H_H_H-L2_215_CHO_H_H-SQL_A-AA,0.42024,2068.93,0.618119,17.27083,2.122
S4_401_NH2_H_H-L2_212_CHO_H_H-SQL_A-AA,0.48466,2171.38,0.826701,19.80981,5.207
S4_401_NH2_H_H-L2_216_CHO_H_H-SQL_A-AA,0.46104,2214.27,0.759038,17.47513,3.823
S4_401_NH2_H_H-L2_214_CHO_H_H-SQL_A-AA,0.4626,2195.53,0.761607,18.45651,3.689
S4_TBPR_NH2_H-L2_210_CHO_H_H-SQL_A-AA,0.43284,2018.8,0.611854,16.1649,2.451
S4_401_NH2_H_H-L2_211_CHO_H_H-SQL_A-AA,0.41722,1977.47,0.599239,17.47513,4.284
S4_PORP_NH2_H_H_H_H-L2_206_CHO_H_H-SQL_A-AA,0.30304,1494.68,0.3357,12.07674,2.063
S4_PORP_NH2_H_H_H_H-L2_211_CHO_H_H-SQL_A-AA,0.17888,1196.39,0.159807,10.33643,1.788
S4_PTCA_NH2_H_H_H_H-L2_211_CHO_H_H-SQL_A-AA,0.37534,1839.82,0.482254,16.29419,2.461
S4_401_NH2_H_H-L2_203_CHO_H_H-SQL_A-AA,0.52796,2353.59,0.995195,21.41054,4.747
S4_PTCA_NH2_H_H_H_H-L2_209_CHO_H_H-SQL_A-AA,0.45438,2142.01,0.717944,18.48399,3.238
S4_401_NH2_H_H-L2_217_CHO_H_H-SQL_A-AA,0.50278,2313.71,0.911001,19.99312,5.231
S4_TBPR_NH2_H-L2_202_CHO_H_H-SQL_A-AA,0.43638,2014.69,0.629053,16.54956,2.349
S4_TBPR_NH2_H-L2_205_CHO_H_H-SQL_A-AA,0.45292,2094.88,0.679707,17.62904,3.105
S4_PORP_NH2_H_H_H_H-L2_212_CHO_H_H-SQL_A-AA,0.29086,1619.31,0.336756,12.66414,1.959
S4_PORP_NH2_H_H_H_H-L2_210_CHO_H_H-SQL_A-AA,0.24536,1449.22,0.263205,10.33644,1.757
S4_PTCA_NH2_H_H_H_H-L2_207_CHO_H_H-SQL_A-AA,0.48814,2286.28,0.839903,20.22105,2.682
S4_TBPR_NH2_H-L2_209_CHO_H_H-SQL_A-AA,0.46768,2053.28,0.714896,18.35415,3.375
S4_TBPR_NH2_H-L2_208_CHO_H_H-SQL_A-AA,0.50208,2236.62,0.840862,20.09078,2.896
S4_401_NH2_H_H-L2_210_CHO_H_H-SQL_A-AA,0.4588,2229.61,0.757302,17.47513,3.887
S4_PTCA_NH2_H_H_H_H-L2_205_CHO_H_H-SQL_A-AA,0.43646,2179.51,0.680305,17.75597,2.732
S4_TBPR_NH2_H-L2_212_CHO_H_H-SQL_A-AA,0.45992,2045.48,0.690679,18.50012,3.654
S4_PTCA_NH2_H_H_H_H-L2_204_CHO-SQL_A-AA,0.35996,2166.55,0.488494,14.05529,1.418
S4_PORP_NH2_H_H_H_H-L2_209_CHO_H_H-SQL_A-AA,0.30334,1661.19,0.359273,12.47917,2.593
S4_401_NH2_H_H-L2_209_CHO_H_H-SQL_A-AA,0.49144,2219.56,0.853311,19.66973,4.912
S4_TBPR_NH2_H-L2_215_CHO_H_H-SQL_A-AA,0.43586,1956.68,0.614599,17.1407,2.374
S4_PORP_NH2_H_H_H_H-L2_208_CHO_H_H-SQL_A-AA,0.36102,1853.21,0.481511,14.18336,2.265
S4_PTCA_NH2_H_H_H_H-L2_214_CHO_H_H-SQL_A-AA,0.42108,2065.31,0.619355,17.27083,2.259
S4_PORP_NH2_H_H_H_H-L2_215_CHO_H_H-SQL_A-AA,0.25484,1452.49,0.272428,11.25041,1.744
S4_PORP_NH2_H_H_H_H-L2_207_CHO_H_H-SQL_A-AA,0.3612,1853.48,0.476429,14.18336,2.145
S4_401_NH2_H_H-L2_206_CHO_H_H-SQL_A-AA,0.49094,2152.72,0.820234,19.24659,4.49
S4_PTCA_NH2_H_H_H_H-L2_212_CHO_H_H-SQL_A-AA,0.44422,2141.41,0.689392,18.6294,2.952
S4_401_NH2_H_H-L2_202_CHO_H_H-SQL_A-AA,0.46206,2232.63,0.777108,17.86097,3.886
S4_401_NH2_H_H-L2_201_CHO_H_H-SQL_A-AA,0.52584,2172.12,0.927418,21.39229,4.756
S4_TBPR_NH2_H-L2_201_CHO_H_H-SQL_A-AA,0.50488,1984.96,0.783261,20.07169,2.998
S4_TBPR_NH2_H-L2_211_CHO_H_H-SQL_A-AA,0.38564,1781.24,0.47683,16.1649,2.615
S4_401_NH2_H_H-L2_208_CHO_H_H-SQL_A-AA,0.52208,2377.76,0.996987,21.41054,4.543
S4_PORP_NH2_H_H_H_H-L2_216_CHO_H_H-SQL_A-AA,0.24646,1488.58,0.263469,10.33644,1.573
S4_401_NH2_H_H-L2_204_CHO-SQL_A-AA,0.4106,2246.04,0.635678,15.38552,3.008
S4_PTCA_NH2_H_H_H_H-L2_210_CHO_H_H-SQL_A-AA,0.41698,2098.44,0.614893,16.29419,2.255
S4_PORP_NH2_H_H_H_H-L2_217_CHO_H_H-SQL_A-AA,0.32674,1763.1,0.407878,12.84794,2.577
S4_PORP_NH2_H_H_H_H-L2_203_CHO_H_H-SQL_A-AA,0.36764,1928.6,0.482297,14.18336,2.267
S4_TBPR_NH2_H-L2_203_CHO_H_H-SQL_A-AA,0.50926,2189.89,0.842241,20.09078,3.193
S4_PTCA_NH2_H_H_H_H-L2_206_CHO_H_H-SQL_A-AA,0.4508,2072.86,0.679291,18.06371,2.437
